Province;Car;Population (in thousands);Number of cars per 1000 people;Year
Aceh;158406;5372;29,48734177;2019
Bali;455993;4337;105,1401891;2019
Kepulauan Bangka Belitung;77559;1489;52,08797851;2019
Banten;227547;12927;17,60245997;2019
Bengkulu;103400;1992;51,90763052;2019
Gorontalo;33282;1203;27,66583541;2019
Papua Barat;34329;3379;10,15951465;2019
DKI Jakarta;3310426;10558;313,5466944;2019
Jambi;159007;3625;43,864;2019
Jawa Barat;3628502;49317;73,57507553;2019
Jawa Tengah;1348353;34718;38,83728901;2019
Jawa Timur;1858782;39699;46,82188468;2019
Kalimantan Barat;138484;5069;27,31978694;2019
Kalimantan Selatan;215641;4244;50,81079171;2019
Kalimantan Tengah;87814;2715;32,34401473;2019
Kalimantan Timur;261006;3721;70,1440473;2019
Kalimantan Utara;11959;742;16,11725067;2019
Kepulauan Riau;138167;2190;63,08995434;2019
Lampung;271216;8448;32,10416667;2019
Maluku;23383;1803;12,96894065;2019
Maluku Utara;18449;1256;14,68869427;2019
Nusa Tenggara Barat;96118;5070;18,9581854;2019
Nusa Tenggara Timur;57654;5456;10,56708211;2019
Papua;30826;960;32,11041667;2019
Riau;327669;6972;46,99784854;2019
Sulawesi Barat;18726;1380;13,56956522;2019
Sulawesi Selatan;494698;8851;55,89176364;2019
Sulawesi Tengah;82901;3054;27,14505566;2019
Sulawesi Tenggara;178253;2705;65,89759704;2019
Sulawesi Utara;117122;2507;46,71798963;2019
Sumatera Barat;261992;5441;48,15144275;2019
Sumatera Selatan;360474;8471;42,55388974;2019
Sumatera Utara;647775;14563;44,48087619;2019
DI Yogyakarta;356506;3843;92,76762946;2019
Aceh;160334;5275;30,39507109;2020
Bali;459369;4317;106,409312;2020
Kepulauan Bangka Belitung;78504;1456;53,91758242;2020
Banten;232939;11905;19,56648467;2020
Bengkulu;104579;2011;52,00348086;2020
Gorontalo;33978;1172;28,99146758;2020
Papua Barat;34585;1134;30,49823633;2020
DKI Jakarta;3365467;10562;318,6391782;2020
Jambi;162107;3548;45,68968433;2020
Jawa Barat;3652233;48274;75,65631603;2020
Jawa Tengah;1363756;36516;37,34680688;2020
Jawa Timur;1883822;40666;46,32425122;2020
Kalimantan Barat;141397;5414;26,1169191;2020
Kalimantan Selatan;219216;4074;53,80854197;2020
Kalimantan Tengah;90135;2670;33,75842697;2020
Kalimantan Timur;266296;3766;70,71056824;2020
Kalimantan Utara;12385;702;17,64245014;2020
Kepulauan Riau;141044;2065;68,30217918;2020
Lampung;274765;9008;30,50233126;2020
Maluku;23700;1849;12,81773932;2020
Maluku Utara;18747;1283;14,61184723;2020
Nusa Tenggara Barat;97186;5320;18,26804511;2020
Nusa Tenggara Timur;58062;5326;10,90161472;2020
Papua;32984;4304;7,663568773;2020
Riau;334144;6394;52,25899281;2020
Sulawesi Barat;19221;1419;13,54545455;2020
Sulawesi Selatan;503113;9074;55,44555874;2020
Sulawesi Tengah;83966;2986;28,11989283;2020
Sulawesi Tenggara;180130;2625;68,62095238;2020
Sulawesi Utara;119266;2622;45,48665141;2020
Sumatera Barat;265241;5534;47,92934586;2020
Sumatera Selatan;366969;8467;43,34108893;2020
Sumatera Utara;658330;14799;44,48476248;2020
DI Yogyakarta;359776;3669;98,05832652;2020
Aceh;166570;5334;31,2279715;2021
Bali;467085;4363;107,0559248;2021
Kepulauan Bangka Belitung;86748;1473;58,89205703;2021
Banten;252588;12061;20,94254208;2021
Bengkulu;146691;2033;72,15494343;2021
Gorontalo;50501;1181;42,76121931;2021
Papua Barat;36863;1157;31,86084702;2021
DKI Jakarta;3548304;10610;334,4301602;2021
Jambi;296892;3585;82,81506276;2021
Jawa Barat;3834886;48782;78,61272601;2021
Jawa Tengah;1405390;36743;38,24919032;2021
Jawa Timur;2022394;40879;49,47268769;2021
Kalimantan Barat;152179;5471;27,81557302;2021
Kalimantan Selatan;238537;4123;57,85520252;2021
Kalimantan Tengah;113676;2702;42,07105848;2021
Kalimantan Timur;282455;3808;74,17410714;2021
Kalimantan Utara;13668;714;19,14285714;2021
Kepulauan Riau;149694;2118;70,67705382;2021
Lampung;291889;9082;32,1392865;2021
Maluku;30467;1863;16,35373054;2021
Maluku Utara;20954;1299;16,1308699;2021
Nusa Tenggara Barat;100115;5390;18,5742115;2021
Nusa Tenggara Timur;88892;5388;16,49814402;2021
Papua;35877;4355;8,238117107;2021
Riau;367515;6494;56,59300893;2021
Sulawesi Barat;20710;1437;14,41196938;2021
Sulawesi Selatan;529206;9140;57,9;2021
Sulawesi Tengah;91671;3022;30,33454666;2021
Sulawesi Tenggara;188501;2659;70,8916886;2021
Sulawesi Utara;126881;2639;48,07919667;2021
Sumatera Barat;278705;5580;49,94713262;2021
Sumatera Selatan;393952;8551;46,0708689;2021
Sumatera Utara;690543;14936;46,23346277;2021
DI Yogyakarta;382095;3713;102,9073525;2021
